blocking_condition_id,decision_readiness_id,decision_scorecard_id,decision_package_id,condition_type,condition_category,condition_description,severity,blocking_flag,source_phase,source_record_id,responsible_role,required_resolution,resolution_evidence_required,current_status,transition_enabled_after_resolution
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
