decision_action_routing_id,decision_package_id,action_id,action_name,action_eligibility_status,action_reason,prerequisite_count,blocking_condition_count,audit_required,management_selection_required,readiness_status,blocking_gate_affected
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A005,Validate Financial Inputs,Not Applicable,No eligibility rule defined for Validate Financial Inputs under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A006,Validate Benefit Assumptions,Not Applicable,No eligibility rule defined for Validate Benefit Assumptions under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A007,Provide Budget Information,Not Applicable,No eligibility rule defined for Provide Budget Information under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A009,Request Stakeholder Review,Not Applicable,No eligibility rule defined for Request Stakeholder Review under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A010,Proceed to Limited-Trial Consideration,Blocked,Governed eligibility for Requires Baseline Validation,1,1,True,True,Requires Baseline Validation,Baseline Gate
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A011,Continue Monitoring,Allowed,Governed eligibility for Requires Baseline Validation,0,1,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A012,Escalate for Immediate Management Attention,Allowed with Conditions,Governed eligibility for Requires Baseline Validation,0,1,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A013,Defer Decision,Allowed,Governed eligibility for Requires Baseline Validation,0,1,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A014,Reject Decision Use,Not Applicable,No eligibility rule defined for Reject Decision Use under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A015,Request Evidence Completion,Allowed,Governed eligibility for Requires Baseline Validation,0,1,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A016,Request Lineage Completion,Not Applicable,No eligibility rule defined for Request Lineage Completion under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A017,Route to Non-Quantitative Review,Not Applicable,No eligibility rule defined for Route to Non-Quantitative Review under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A018,No Action - Monitoring Continues,Not Applicable,No eligibility rule defined for No Action - Monitoring Continues under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A001,Review Integrated Decision Package,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A002,Compare Scenario Options,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A003,Validate Assumptions,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A004,Validate Baseline,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A005,Validate Financial Inputs,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A006,Validate Benefit Assumptions,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A007,Provide Budget Information,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A009,Request Stakeholder Review,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A010,Proceed to Limited-Trial Consideration,Allowed with Conditions,Governed eligibility for Ready with Conditions,1,1,True,True,Ready with Conditions,Any Mandatory Gate Failed
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A011,Continue Monitoring,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A012,Escalate for Immediate Management Attention,Not Applicable,No eligibility rule defined for Escalate for Immediate Management Attention under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A013,Defer Decision,Allowed,Governed eligibility for Ready with Conditions,0,1,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A014,Reject Decision Use,Not Applicable,No eligibility rule defined for Reject Decision Use under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A015,Request Evidence Completion,Not Applicable,No eligibility rule defined for Request Evidence Completion under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A016,Request Lineage Completion,Not Applicable,No eligibility rule defined for Request Lineage Completion under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A017,Route to Non-Quantitative Review,Not Applicable,No eligibility rule defined for Route to Non-Quantitative Review under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,A018,No Action - Monitoring Continues,Not Applicable,No eligibility rule defined for No Action - Monitoring Continues under Ready with Conditions,0,0,True,True,Ready with Conditions,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A001,Review Integrated Decision Package,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A002,Compare Scenario Options,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A003,Validate Assumptions,Not Applicable,No eligibility rule defined for Validate Assumptions under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A004,Validate Baseline,Not Applicable,No eligibility rule defined for Validate Baseline under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A005,Validate Financial Inputs,Not Applicable,No eligibility rule defined for Validate Financial Inputs under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A006,Validate Benefit Assumptions,Not Applicable,No eligibility rule defined for Validate Benefit Assumptions under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A007,Provide Budget Information,Not Applicable,No eligibility rule defined for Provide Budget Information under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A009,Request Stakeholder Review,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A010,Proceed to Limited-Trial Consideration,Allowed with Conditions,Governed eligibility for Ready for Integrated Management Review,1,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A011,Continue Monitoring,Not Applicable,No eligibility rule defined for Continue Monitoring under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A012,Escalate for Immediate Management Attention,Allowed with Conditions,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A013,Defer Decision,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A014,Reject Decision Use,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A015,Request Evidence Completion,Not Applicable,No eligibility rule defined for Request Evidence Completion under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A016,Request Lineage Completion,Not Applicable,No eligibility rule defined for Request Lineage Completion under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A017,Route to Non-Quantitative Review,Not Applicable,No eligibility rule defined for Route to Non-Quantitative Review under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,A018,No Action - Monitoring Continues,Not Applicable,No eligibility rule defined for No Action - Monitoring Continues under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A001,Review Integrated Decision Package,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A002,Compare Scenario Options,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A003,Validate Assumptions,Not Applicable,No eligibility rule defined for Validate Assumptions under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A004,Validate Baseline,Not Applicable,No eligibility rule defined for Validate Baseline under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A005,Validate Financial Inputs,Not Applicable,No eligibility rule defined for Validate Financial Inputs under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A006,Validate Benefit Assumptions,Not Applicable,No eligibility rule defined for Validate Benefit Assumptions under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A007,Provide Budget Information,Not Applicable,No eligibility rule defined for Provide Budget Information under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A009,Request Stakeholder Review,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A010,Proceed to Limited-Trial Consideration,Allowed with Conditions,Governed eligibility for Ready for Integrated Management Review,1,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A011,Continue Monitoring,Not Applicable,No eligibility rule defined for Continue Monitoring under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A012,Escalate for Immediate Management Attention,Allowed with Conditions,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A013,Defer Decision,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A014,Reject Decision Use,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A015,Request Evidence Completion,Not Applicable,No eligibility rule defined for Request Evidence Completion under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A016,Request Lineage Completion,Not Applicable,No eligibility rule defined for Request Lineage Completion under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A017,Route to Non-Quantitative Review,Not Applicable,No eligibility rule defined for Route to Non-Quantitative Review under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,A018,No Action - Monitoring Continues,Not Applicable,No eligibility rule defined for No Action - Monitoring Continues under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A001,Review Integrated Decision Package,Blocked,Governed eligibility for Requires Evidence Completion,1,1,True,True,Requires Evidence Completion,Evidence Gate
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A002,Compare Scenario Options,Not Applicable,No eligibility rule defined for Compare Scenario Options under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A003,Validate Assumptions,Not Applicable,No eligibility rule defined for Validate Assumptions under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A004,Validate Baseline,Not Applicable,No eligibility rule defined for Validate Baseline under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A005,Validate Financial Inputs,Not Applicable,No eligibility rule defined for Validate Financial Inputs under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A006,Validate Benefit Assumptions,Not Applicable,No eligibility rule defined for Validate Benefit Assumptions under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A007,Provide Budget Information,Not Applicable,No eligibility rule defined for Provide Budget Information under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A009,Request Stakeholder Review,Allowed,Governed eligibility for Requires Evidence Completion,0,1,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A010,Proceed to Limited-Trial Consideration,Not Applicable,No eligibility rule defined for Proceed to Limited-Trial Consideration under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A011,Continue Monitoring,Allowed,Governed eligibility for Requires Evidence Completion,0,1,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A012,Escalate for Immediate Management Attention,Not Applicable,No eligibility rule defined for Escalate for Immediate Management Attention under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A013,Defer Decision,Allowed,Governed eligibility for Requires Evidence Completion,0,1,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A014,Reject Decision Use,Not Applicable,No eligibility rule defined for Reject Decision Use under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A015,Request Evidence Completion,Allowed,Governed eligibility for Requires Evidence Completion,0,1,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A016,Request Lineage Completion,Not Applicable,No eligibility rule defined for Request Lineage Completion under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A017,Route to Non-Quantitative Review,Not Applicable,No eligibility rule defined for Route to Non-Quantitative Review under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,A018,No Action - Monitoring Continues,Not Applicable,No eligibility rule defined for No Action - Monitoring Continues under Requires Evidence Completion,0,0,True,True,Requires Evidence Completion,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A001,Review Integrated Decision Package,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A002,Compare Scenario Options,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A003,Validate Assumptions,Not Applicable,No eligibility rule defined for Validate Assumptions under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A004,Validate Baseline,Not Applicable,No eligibility rule defined for Validate Baseline under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A005,Validate Financial Inputs,Not Applicable,No eligibility rule defined for Validate Financial Inputs under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A006,Validate Benefit Assumptions,Not Applicable,No eligibility rule defined for Validate Benefit Assumptions under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A007,Provide Budget Information,Not Applicable,No eligibility rule defined for Provide Budget Information under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Ready for Integrated Management Review,0,0,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A009,Request Stakeholder Review,Allowed,Governed eligibility for Ready for Integrated Management Review,0,1,True,True,Ready for Integrated Management Review,
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,A010,Proceed to Limited-Trial Consideration,Allowed with Conditions,Governed eligibility for Ready for Integrated Management Review,1,1,True,True,Ready for Integrated Management Review,
