contract_record_id,decision_package_id,approval_package_id,contract_name,required_fields,contract_status,governance_note
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
