decision_action_routing_id,decision_package_id,final_readiness_status,escalation_required,escalation_status,escalation_reason,escalation_target_role,escalation_queue,escalation_timeframe_category,readiness_limitation,management_attention_required,operational_escalation_separate,governance_note
DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation,True,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,True,Escalation separate from analytical readiness
DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation,True,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,True,Escalation separate from analytical readiness
DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation,True,Standard Review,Baseline validation required before progression,Data Owner,Baseline Validation Queue,Routine,Baseline validation pending,False,True,Escalation separate from analytical readiness
DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input,True,Standard Review,Financial input required before progression,Finance,Financial Input Queue,Routine,Financial input pending,False,True,Escalation separate from analytical readiness
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-65FFC947,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-F69D881E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-A088C72F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-1FC88CEB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-85B425D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,False,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,True,Escalation separate from analytical readiness
DAR-1A8CB370,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-A904BCBD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-CBFB2A12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-44D140E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-D58E9BD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-FA6D78BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Requires Evidence Completion,True,Standard Review,Evidence completion required,Data Owner,Evidence Completion Queue,Routine,Evidence completion pending,False,True,Escalation separate from analytical readiness
DAR-F58A9C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-0B68089C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Requires Additional Scenario Analysis,True,Standard Review,Additional scenario analysis required,Analytics Team,Additional Scenario Queue,Routine,Scenario analysis pending,False,True,Escalation separate from analytical readiness
DAR-EA4053CB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-98726969,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Requires Assumption Validation,True,Standard Review,Assumption validation required before progression,Analytics Team,Assumption Validation Queue,Routine,Assumption validation pending,False,True,Escalation separate from analytical readiness
DAR-C3E2A005,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-43A3A727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Requires Evidence Completion,True,Standard Review,Evidence completion required,Data Owner,Evidence Completion Queue,Routine,Evidence completion pending,False,True,Escalation separate from analytical readiness
DAR-4E0233B3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Requires Benefit Validation,True,Standard Review,Benefit validation required before progression,Finance,Benefit Validation Queue,Routine,Benefit validation pending,False,True,Escalation separate from analytical readiness
DAR-A2184B45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Requires Lineage Completion,True,Standard Review,Lineage completion required,Data Owner,Lineage Completion Queue,Routine,Lineage completion pending,False,True,Escalation separate from analytical readiness
DAR-8E139A61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Requires Baseline Validation,True,Standard Review,Baseline validation required before progression,Data Owner,Baseline Validation Queue,Routine,Baseline validation pending,False,True,Escalation separate from analytical readiness
DAR-2C86E20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Requires Stakeholder Validation,True,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,True,Escalation separate from analytical readiness
DAR-CBD1AB9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-72920AE5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Requires Assumption Validation,True,Standard Review,Assumption validation required before progression,Analytics Team,Assumption Validation Queue,Routine,Assumption validation pending,False,True,Escalation separate from analytical readiness
DAR-F151BB6D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-C959CF61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-D86AFFC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Requires Baseline Validation,True,Standard Review,Baseline validation required before progression,Data Owner,Baseline Validation Queue,Routine,Baseline validation pending,False,True,Escalation separate from analytical readiness
DAR-A8A39E5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Requires Additional Scenario Analysis,True,Standard Review,Additional scenario analysis required,Analytics Team,Additional Scenario Queue,Routine,Scenario analysis pending,False,True,Escalation separate from analytical readiness
DAR-91888938,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-47AA9CDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-02CD3D0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-67B60B0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-486153C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-B041DB80,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Requires Lineage Completion,True,Standard Review,Lineage completion required,Data Owner,Lineage Completion Queue,Routine,Lineage completion pending,False,True,Escalation separate from analytical readiness
DAR-8A48496A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Requires Stakeholder Validation,True,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,True,Escalation separate from analytical readiness
DAR-11B3A8FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-DCA573F0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Requires Stakeholder Validation,True,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,True,Escalation separate from analytical readiness
DAR-8F07C192,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Not Suitable for Decision Use,True,Not Assessable,Operational escalation trigger,Governance / Audit Reviewer,Not Suitable Register,Not Applicable,Not suitable,True,True,Escalation separate from analytical readiness
DAR-C10FA647,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-EE7D0265,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-654C8862,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-6E4ECFB0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-207414C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-B668EB93,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Requires Financial Input,True,Standard Review,Financial input required before progression,Finance,Financial Input Queue,Routine,Financial input pending,False,True,Escalation separate from analytical readiness
DAR-735B99A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-A27D8B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-C05DF516,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-D7A73F42,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Ready for Integrated Management Review,True,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,,False,True,Escalation separate from analytical readiness
DAR-7FBB55CE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Requires Benefit Validation,True,Standard Review,Benefit validation required before progression,Finance,Benefit Validation Queue,Routine,Benefit validation pending,False,True,Escalation separate from analytical readiness
DAR-EE146E46,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Requires Additional Scenario Analysis,True,Standard Review,Additional scenario analysis required,Analytics Team,Additional Scenario Queue,Routine,Scenario analysis pending,False,True,Escalation separate from analytical readiness
DAR-CB297F72,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-585479DB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Ready with Conditions,True,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,True,Escalation separate from analytical readiness
DAR-4F92C8DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Not Suitable for Decision Use,True,Not Assessable,Operational escalation trigger,Governance / Audit Reviewer,Not Suitable Register,Not Applicable,Not suitable,True,True,Escalation separate from analytical readiness
DAR-501FE4B7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Non-Quantitative,True,Standard Review,Non-quantitative review required,Clinical Lead,Non-Quantitative Review Queue,Routine,Qualitative review pending,False,True,Escalation separate from analytical readiness
DAR-BFD757FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Requires Stakeholder Validation,True,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,True,Escalation separate from analytical readiness
