explanation_id,decision_readiness_id,decision_scorecard_id,decision_package_id,current_readiness,why_assigned,main_blocking_condition,secondary_conditions,what_must_happen_next,who_is_responsible,permitted_management_action,what_status_does_not_mean,full_explanation,governance_note
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Requires Additional Scenario Analysis, The comparator set is incomplete or existing scenario results are insufficient.,Requires Additional Scenario Analysis,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Additional Scenario Analysis. The comparator set is incomplete or existing scenario results are insufficient. Additional modelling is required before comparison can be completed. Main blocking condition: Requires Additional Scenario Analysis. Resolve Requires Additional Scenario Analysis before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Requires Lineage Completion, Source-to-decision lineage is incomplete or orphan references exist.,Requires Lineage Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Lineage Completion. Source-to-decision lineage is incomplete or orphan references exist. The decision record cannot be fully traced without completing lineage. Main blocking condition: Requires Lineage Completion. Resolve Requires Lineage Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Requires Additional Scenario Analysis, The comparator set is incomplete or existing scenario results are insufficient.,Requires Additional Scenario Analysis,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Additional Scenario Analysis. The comparator set is incomplete or existing scenario results are insufficient. Additional modelling is required before comparison can be completed. Main blocking condition: Requires Additional Scenario Analysis. Resolve Requires Additional Scenario Analysis before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input, A mandatory financial input is missing or incomplete.,Requires Financial Input,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Financial Input. A mandatory financial input is missing or incomplete. Financial comparison would be materially misleading without complete data. Required cost or benefit information must be provided. Main blocking condition: Requires Financial Input. Resolve Requires Financial Input before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
