queue_assignment_id,decision_action_routing_id,decision_package_id,primary_queue,secondary_queue,queue_reason,queue_priority,responsible_role,escalation_status,blocking_condition_count,pending_prerequisite_count,current_status,governance_note
QUE-B9CE46B0,DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Stakeholder Validation Queue,,Routed based on readiness status: Requires Stakeholder Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-3C96921B,DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Stakeholder Validation Queue,,Routed based on readiness status: Requires Stakeholder Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-74A790F7,DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-B3CC056F,DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Baseline Validation Queue,,Routed based on readiness status: Requires Baseline Validation,Medium,,Pending Routing,2,7,Pending Routing,Prototype default - Pending Routing
QUE-638AAB16,DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-EBED6739,DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Financial Input Queue,,Routed based on readiness status: Requires Financial Input,Medium,,Pending Routing,1,7,Pending Routing,Prototype default - Pending Routing
QUE-74E6BB55,DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-43329A8F,DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-C0D48194,DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-51980BD9,DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-20445E41,DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-69B8F5F1,DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-1214C5CF,DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-F4E06D86,DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-B26F6AB6,DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-18EFE069,DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-64E9AC70,DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-43D5568E,DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-AF767FDA,DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-C55FBDBE,DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-176A46FE,DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-2402F268,DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-4E44C7AC,DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-23DC8E13,DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-C22B034B,DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-F85719A7,DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-02576A60,DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-305E82F2,DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-5B1E8C82,DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-8CB1652B,DAR-65FFC947,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-F86B0EAA,DAR-F69D881E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-CED1DD96,DAR-A088C72F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-46A0EAEE,DAR-1FC88CEB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-F45D86B4,DAR-85B425D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Queue,,Routed based on readiness status: Monitoring Only,Low-Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-EF23996D,DAR-1A8CB370,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-35D7503F,DAR-A904BCBD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-14CA434C,DAR-CBFB2A12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-8D075AA3,DAR-44D140E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-8FA9E28B,DAR-D58E9BD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-BCAB2C45,DAR-FA6D78BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Evidence Completion Queue,,Routed based on readiness status: Requires Evidence Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-9EB65033,DAR-F58A9C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-A4E3BE2A,DAR-0B68089C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Additional Scenario Queue,,Routed based on readiness status: Requires Additional Scenario Analysis,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-E15BDFE5,DAR-EA4053CB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-8BC91F32,DAR-98726969,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Assumption Validation Queue,,Routed based on readiness status: Requires Assumption Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-3BFF6255,DAR-C3E2A005,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-8FEFF0A0,DAR-43A3A727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Evidence Completion Queue,,Routed based on readiness status: Requires Evidence Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-4C515213,DAR-4E0233B3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Benefit Validation Queue,,Routed based on readiness status: Requires Benefit Validation,Medium,,Pending Routing,1,7,Pending Routing,Prototype default - Pending Routing
QUE-CD626532,DAR-A2184B45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Lineage Completion Queue,,Routed based on readiness status: Requires Lineage Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-7882DCD0,DAR-8E139A61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Baseline Validation Queue,,Routed based on readiness status: Requires Baseline Validation,Medium,,Pending Routing,2,7,Pending Routing,Prototype default - Pending Routing
QUE-34A8B46D,DAR-2C86E20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Stakeholder Validation Queue,,Routed based on readiness status: Requires Stakeholder Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-8C0D1CCC,DAR-CBD1AB9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-CF8CF4B6,DAR-72920AE5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Assumption Validation Queue,,Routed based on readiness status: Requires Assumption Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-E45D4348,DAR-F151BB6D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-C690471E,DAR-C959CF61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-E2BA2EC2,DAR-D86AFFC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Baseline Validation Queue,,Routed based on readiness status: Requires Baseline Validation,Medium,,Pending Routing,2,7,Pending Routing,Prototype default - Pending Routing
QUE-F4D7686B,DAR-A8A39E5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Additional Scenario Queue,,Routed based on readiness status: Requires Additional Scenario Analysis,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-D7945387,DAR-91888938,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-97D2C599,DAR-47AA9CDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-358BAD76,DAR-02CD3D0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-F25F70FD,DAR-67B60B0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-7A510F5A,DAR-486153C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-6535A68C,DAR-B041DB80,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Lineage Completion Queue,,Routed based on readiness status: Requires Lineage Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-2231E251,DAR-8A48496A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Stakeholder Validation Queue,,Routed based on readiness status: Requires Stakeholder Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-D3CBD580,DAR-11B3A8FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-74869F67,DAR-DCA573F0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Stakeholder Validation Queue,,Routed based on readiness status: Requires Stakeholder Validation,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-2EAC50C5,DAR-8F07C192,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Not Suitable Register,,Routed based on readiness status: Not Suitable for Decision Use,Low,,Pending Routing,2,7,Pending Routing,Prototype default - Pending Routing
QUE-7651E639,DAR-C10FA647,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-9038DD72,DAR-EE7D0265,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-15923510,DAR-654C8862,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-6DD7171D,DAR-6E4ECFB0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-08C85110,DAR-207414C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-348C6AE8,DAR-B668EB93,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Financial Input Queue,,Routed based on readiness status: Requires Financial Input,Medium,,Pending Routing,1,7,Pending Routing,Prototype default - Pending Routing
QUE-DC7825A3,DAR-735B99A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-181F3EA2,DAR-A27D8B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-EB163CE0,DAR-C05DF516,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-34A21EC4,DAR-D7A73F42,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-9E70FD62,DAR-7FBB55CE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Benefit Validation Queue,,Routed based on readiness status: Requires Benefit Validation,Medium,,Pending Routing,1,7,Pending Routing,Prototype default - Pending Routing
QUE-7D0BF19A,DAR-EE146E46,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Additional Scenario Queue,,Routed based on readiness status: Requires Additional Scenario Analysis,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-41B89776,DAR-CB297F72,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
