decision_action_routing_id,decision_package_id,final_readiness_status,action_routing_explanation,primary_permitted_action,main_blocking_action,main_blocking_reason,responsible_role,escalation_required,escalation_status,governance_note
DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Requires Additional Scenario Analysis,Current readiness: Requires Additional Scenario Analysis. Primary permitted action: Request Additional Scenario. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to incomplete scenario analysis. Responsible role: Analytics Team. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Additional Scenario,Proceed to Limited-Trial Consideration,Action blocked due to incomplete scenario analysis,Analytics Team,True,Standard Review,Explanation for management workflow support only
DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Requires Evidence Completion,Current readiness: Requires Evidence Completion. Primary permitted action: Request Evidence Completion. This action is permitted because the readiness status governs allowed actions. Main blocking action: Review Integrated Decision Package. Reason: Action blocked due to evidence deficiency. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Evidence Completion,Review Integrated Decision Package,Action blocked due to evidence deficiency,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Requires Evidence Completion,Current readiness: Requires Evidence Completion. Primary permitted action: Request Evidence Completion. This action is permitted because the readiness status governs allowed actions. Main blocking action: Review Integrated Decision Package. Reason: Action blocked due to evidence deficiency. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Evidence Completion,Review Integrated Decision Package,Action blocked due to evidence deficiency,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Requires Lineage Completion,Current readiness: Requires Lineage Completion. Primary permitted action: Request Lineage Completion. This action is permitted because the readiness status governs allowed actions. Main blocking action: Review Integrated Decision Package. Reason: Action blocked due to lineage deficiency. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Lineage Completion,Review Integrated Decision Package,Action blocked due to lineage deficiency,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Requires Additional Scenario Analysis,Current readiness: Requires Additional Scenario Analysis. Primary permitted action: Request Additional Scenario. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to incomplete scenario analysis. Responsible role: Analytics Team. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Additional Scenario,Proceed to Limited-Trial Consideration,Action blocked due to incomplete scenario analysis,Analytics Team,True,Standard Review,Explanation for management workflow support only
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation,Current readiness: Requires Stakeholder Validation. Primary permitted action: Request Stakeholder Review. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to unresolved stakeholder confirmation. Responsible role: Stakeholder Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Stakeholder Review,Proceed to Limited-Trial Consideration,Action blocked due to unresolved stakeholder confirmation,Stakeholder Owner,True,Standard Review,Explanation for management workflow support only
DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation,Current readiness: Requires Stakeholder Validation. Primary permitted action: Request Stakeholder Review. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to unresolved stakeholder confirmation. Responsible role: Stakeholder Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Stakeholder Review,Proceed to Limited-Trial Consideration,Action blocked due to unresolved stakeholder confirmation,Stakeholder Owner,True,Standard Review,Explanation for management workflow support only
DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation,Current readiness: Requires Baseline Validation. Primary permitted action: Validate Baseline. This action is permitted because the readiness status governs allowed actions. Main blocking action: Compare Scenario Options. Reason: Action blocked due to invalid baseline. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Validate Baseline,Compare Scenario Options,Action blocked due to invalid baseline,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input,Current readiness: Requires Financial Input. Primary permitted action: Validate Financial Inputs. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to missing mandatory cost data. Responsible role: Finance. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Validate Financial Inputs,Proceed to Limited-Trial Consideration,Action blocked due to missing mandatory cost data,Finance,True,Standard Review,Explanation for management workflow support only
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
