scenario_run_id,confidence_base,confidence_adjustments,confidence_score_internal,final_scenario_confidence,confidence_rationale
SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3DC5A27AEF1C9A5C-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-148CC4864432449E-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0FA5EA53500FF719-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0307B1E90B215F96-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-CAC926848EDEB1B6-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-CAC926848EDEB1B6-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-CAC926848EDEB1B6-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D88E7695B211B03E-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-97F70B36E98DB1F1-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-BB49437192EFED17-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-981EE067F7E229E8-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A75EBEA50E13F73B-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A75EBEA50E13F73B-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A75EBEA50E13F73B-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-96356AE1C16295F7-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B5E032C0B67A9356-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E2B02306C6DE9E93-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E2B02306C6DE9E93-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E2B02306C6DE9E93-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E2B02306C6DE9E93-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-BC6F6EF3E4D3607E-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-5323A22D6A8CE9EA-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-391D7921E462CF87-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-391D7921E462CF87-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-391D7921E462CF87-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-391D7921E462CF87-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C714901CBE320E82-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-67D0FE462C526756-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B581A76BC79E1F57-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B581A76BC79E1F57-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B581A76BC79E1F57-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B581A76BC79E1F57-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D4EC09AC5D32BE02-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D22C401935FBB0AF-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A8F1AB286327924A-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A8F1AB286327924A-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A8F1AB286327924A-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-A8F1AB286327924A-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-5A79DCD0A6D101DB-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-FA8C1DDA281CD363-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-57C70AF120BE0469-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-57C70AF120BE0469-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-57C70AF120BE0469-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-57C70AF120BE0469-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B0FB2AEC6387C27B-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7753CB3DEACFA849-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C3F11B1E0C2533F4-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C3F11B1E0C2533F4-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C3F11B1E0C2533F4-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C3F11B1E0C2533F4-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-F75F8590F3554159-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-277B07B82D13E8F2-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DF709330D67ABEC5-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DF709330D67ABEC5-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DF709330D67ABEC5-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DF709330D67ABEC5-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8CB0AEE02AFABAE6-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-5E53C730C5D35B87-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-747242470CE54799-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-747242470CE54799-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-747242470CE54799-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-747242470CE54799-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0697C97A50D51D05-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-2371CB60FDB5991C-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-59E3FB429973055E-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-59E3FB429973055E-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-59E3FB429973055E-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-59E3FB429973055E-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-BA2A5D867DD6C9D1-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-692B4C265DACB2C3-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-58927C6C611CB6A2-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-58927C6C611CB6A2-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-58927C6C611CB6A2-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-58927C6C611CB6A2-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-6E80ED146DD8D32D-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-AD6A05DC64723B69-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-175EFE24E943C187-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-175EFE24E943C187-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-175EFE24E943C187-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-175EFE24E943C187-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-F0430A1EBAF01A6C-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-4BC9F23FBC67922E-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-65BAA941479C62D1-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-65BAA941479C62D1-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-65BAA941479C62D1-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-65BAA941479C62D1-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3D943D8F4B7B32B0-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3020F60E886B6E74-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7BC211D1BA18F080-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7BC211D1BA18F080-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7BC211D1BA18F080-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7BC211D1BA18F080-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C37A0F5CBF529C0F-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-11992F3D82CFC75B-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-ADAE1EF74FA083EE-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-ADAE1EF74FA083EE-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-ADAE1EF74FA083EE-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-ADAE1EF74FA083EE-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-9144621D95ACFFA7-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-ACBDF7EC61D7576F-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E3505E2589029466-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E3505E2589029466-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E3505E2589029466-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-E3505E2589029466-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3F12004ABB2FA9B6-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8E53C4090E41F632-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-2F5F5104E962C6F3-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-2F5F5104E962C6F3-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-2F5F5104E962C6F3-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-2F5F5104E962C6F3-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B2ABC36B39EFD9B6-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-73BB5BED2347443C-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3A72FD4CECA46A41-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3A72FD4CECA46A41-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3A72FD4CECA46A41-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3A72FD4CECA46A41-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DDEB953064D97921-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0414BA888FA182D6-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-179518439057D4D5-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-179518439057D4D5-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-179518439057D4D5-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-179518439057D4D5-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B7D1A13E48022E15-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-73A79F8EF520A799-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-103F6D1B92094997-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-103F6D1B92094997-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-103F6D1B92094997-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-103F6D1B92094997-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8883AE7DF51B151D-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-020C840C4727285E-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-84D32F194E6CE43C-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-84D32F194E6CE43C-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-84D32F194E6CE43C-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-84D32F194E6CE43C-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-488DDB6B03A60368-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-B9ACE0801EC8D8AA-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D785075A60A5E4A9-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D785075A60A5E4A9-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D785075A60A5E4A9-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D785075A60A5E4A9-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-946674628922ED58-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7EA4DAECD87B30F7-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1FD49D3201156F7A-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1FD49D3201156F7A-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1FD49D3201156F7A-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1FD49D3201156F7A-COMP-HIGH-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-C7E009554234CEC6-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1FFF6CD1BA298AC8-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8FAD0E9D25DFF2C7-COMP-BASE-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8FAD0E9D25DFF2C7-COMP-CONS-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8FAD0E9D25DFF2C7-COMP-EXP-002,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
