approval_package_id,episode_id,recommendation_id,case_id,recommendation_role,final_review_outcome,approval_eligibility,exclusion_reason,required_confirmation,scenario_review_required,financial_review_required,contradiction_severity,provisional_recommendation_flag,evidence_pack_id
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,REC-CASE-DEPT-ADM-20261221-OPT1,CASE-DEPT-ADM-20261221,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-E92EE0FCDB14
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,REC-CASE-DEPT-ADM-20261222-OPT1,CASE-DEPT-ADM-20261222,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-5A0ED5D7E76C
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,REC-CASE-DEPT-ADM-20261224-OPT1,CASE-DEPT-ADM-20261224,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-E3C7A38BA1C8
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,REC-CASE-DEPT-ADM-20260202-OPT1,CASE-DEPT-ADM-20260202,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-D1CEC359F5FF
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,REC-CASE-DEPT-ADM-20260202-OPT2,CASE-DEPT-ADM-20260202,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-D1CEC359F5FF
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,REC-CASE-DEPT-ADM-20260206-OPT1,CASE-DEPT-ADM-20260206,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-F491615A48DC
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,REC-CASE-DEPT-ADM-20260206-OPT2,CASE-DEPT-ADM-20260206,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-F491615A48DC
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,REC-CASE-DEPT-ADM-20260330-OPT1,CASE-DEPT-ADM-20260330,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-59442D52DDEA
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,REC-CASE-DEPT-ADM-20260330-OPT2,CASE-DEPT-ADM-20260330,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-59442D52DDEA
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,REC-CASE-DEPT-ADM-20260409-OPT1,CASE-DEPT-ADM-20260409,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-205D78F01B0D
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,REC-CASE-DEPT-ADM-20260409-OPT2,CASE-DEPT-ADM-20260409,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-205D78F01B0D
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,REC-CASE-DEPT-ADM-20260411-OPT1,CASE-DEPT-ADM-20260411,Supporting,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-643670531DE1
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,REC-CASE-DEPT-ADM-20260411-OPT2,CASE-DEPT-ADM-20260411,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-643670531DE1
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,REC-CASE-DEPT-ADM-20260412-OPT1,CASE-DEPT-ADM-20260412,Supporting,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-CC6F5E8CB42A
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,REC-CASE-DEPT-ADM-20260412-OPT2,CASE-DEPT-ADM-20260412,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-CC6F5E8CB42A
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,REC-CASE-DEPT-ADM-20260524-OPT1,CASE-DEPT-ADM-20260524,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-ECD97CD2BEF1
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,REC-CASE-DEPT-ADM-20260524-OPT2,CASE-DEPT-ADM-20260524,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-ECD97CD2BEF1
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,REC-CASE-DEPT-ADM-20260525-OPT1,CASE-DEPT-ADM-20260525,Supporting,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-B1DDCE8DD645
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,REC-CASE-DEPT-ADM-20260525-OPT2,CASE-DEPT-ADM-20260525,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-B1DDCE8DD645
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,REC-CASE-DEPT-ADM-20260529-OPT1,CASE-DEPT-ADM-20260529,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-25579F384E82
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,REC-CASE-DEPT-ADM-20260529-OPT2,CASE-DEPT-ADM-20260529,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-25579F384E82
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,REC-CASE-DEPT-ADM-20260611-OPT1,CASE-DEPT-ADM-20260611,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-9EC7B2DED5CD
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,REC-CASE-DEPT-ADM-20260611-OPT2,CASE-DEPT-ADM-20260611,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-9EC7B2DED5CD
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,REC-CASE-DEPT-ADM-20260620-OPT1,CASE-DEPT-ADM-20260620,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-EF35075C3819
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,REC-CASE-DEPT-ADM-20260620-OPT2,CASE-DEPT-ADM-20260620,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-EF35075C3819
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,REC-CASE-DEPT-ADM-20260624-OPT1,CASE-DEPT-ADM-20260624,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-A8B1F0936453
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,REC-CASE-DEPT-ADM-20260624-OPT2,CASE-DEPT-ADM-20260624,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-A8B1F0936453
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,REC-CASE-DEPT-ADM-20260710-OPT1,CASE-DEPT-ADM-20260710,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-9C6B9DD3F81E
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,REC-CASE-DEPT-ADM-20260710-OPT2,CASE-DEPT-ADM-20260710,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-9C6B9DD3F81E
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,REC-CASE-DEPT-ADM-20260716-OPT1,CASE-DEPT-ADM-20260716,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-4EBEC0F61ABA
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,REC-CASE-DEPT-ADM-20260716-OPT2,CASE-DEPT-ADM-20260716,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-4EBEC0F61ABA
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,REC-CASE-DEPT-ADM-20260814-OPT1,CASE-DEPT-ADM-20260814,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-C3620C382232
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,REC-CASE-DEPT-ADM-20260814-OPT2,CASE-DEPT-ADM-20260814,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-C3620C382232
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,REC-CASE-DEPT-ADM-20260925-OPT1,CASE-DEPT-ADM-20260925,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-94294D795C74
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,REC-CASE-DEPT-ADM-20260925-OPT2,CASE-DEPT-ADM-20260925,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-94294D795C74
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EP-HOSP-001-DEPT-ADM-kpi_002-20261019,REC-CASE-DEPT-ADM-20261019-OPT1,CASE-DEPT-ADM-20261019,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-BDD7C6C0CBFB
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EP-HOSP-001-DEPT-ADM-kpi_002-20261019,REC-CASE-DEPT-ADM-20261019-OPT2,CASE-DEPT-ADM-20261019,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-BDD7C6C0CBFB
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EP-HOSP-001-DEPT-ADM-kpi_002-20261102,REC-CASE-DEPT-ADM-20261102-OPT1,CASE-DEPT-ADM-20261102,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-6F974510EBAF
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EP-HOSP-001-DEPT-ADM-kpi_002-20261102,REC-CASE-DEPT-ADM-20261102-OPT2,CASE-DEPT-ADM-20261102,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-6F974510EBAF
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EP-HOSP-001-DEPT-ADM-kpi_002-20261114,REC-CASE-DEPT-ADM-20261114-OPT1,CASE-DEPT-ADM-20261114,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-925CB895D0FA
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EP-HOSP-001-DEPT-ADM-kpi_002-20261114,REC-CASE-DEPT-ADM-20261114-OPT2,CASE-DEPT-ADM-20261114,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-925CB895D0FA
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EP-HOSP-001-DEPT-ADM-kpi_002-20261121,REC-CASE-DEPT-ADM-20261121-OPT1,CASE-DEPT-ADM-20261121,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-B99913BB61BB
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EP-HOSP-001-DEPT-ADM-kpi_002-20261121,REC-CASE-DEPT-ADM-20261121-OPT2,CASE-DEPT-ADM-20261121,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-B99913BB61BB
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EP-HOSP-001-DEPT-ADM-kpi_002-20261214,REC-CASE-DEPT-ADM-20261214-OPT1,CASE-DEPT-ADM-20261214,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-8D4F55A59BC3
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EP-HOSP-001-DEPT-ADM-kpi_002-20261214,REC-CASE-DEPT-ADM-20261214-OPT2,CASE-DEPT-ADM-20261214,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-8D4F55A59BC3
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EP-HOSP-001-DEPT-ADM-kpi_002-20261225,REC-CASE-DEPT-ADM-20261225-OPT1,CASE-DEPT-ADM-20261225,Representative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-C71686209868
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EP-HOSP-001-DEPT-ADM-kpi_002-20261225,REC-CASE-DEPT-ADM-20261225-OPT2,CASE-DEPT-ADM-20261225,Alternative,Valid with Conditions,Eligible,,"Were there any known illness outbreaks, training events, or policy changes affecting attendance during this period?",True,False,Material,False,DEP-EP-C71686209868
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,REC-CASE-DEPT-ADM-20260130-OPT1,CASE-DEPT-ADM-20260130,Representative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-29A94E395949
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,REC-CASE-DEPT-ADM-20260130-OPT2,CASE-DEPT-ADM-20260130,Alternative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-29A94E395949
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,REC-CASE-DEPT-ADM-20260130-OPT3,CASE-DEPT-ADM-20260130,Alternative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-29A94E395949
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,REC-CASE-DEPT-ADM-20260214-OPT1,CASE-DEPT-ADM-20260214,Representative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-6E901CD1C94A
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,REC-CASE-DEPT-ADM-20260214-OPT2,CASE-DEPT-ADM-20260214,Alternative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-6E901CD1C94A
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,REC-CASE-DEPT-ADM-20260214-OPT3,CASE-DEPT-ADM-20260214,Alternative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-6E901CD1C94A
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,REC-CASE-DEPT-ADM-20260325-OPT1,CASE-DEPT-ADM-20260325,Representative,Valid with Conditions,Eligible,,Was there a low survey response volume or a change in survey methodology that might affect the satisfaction score?,False,False,Minor,False,DEP-EP-AAD482147AED
