approval_package_id,episode_id,hospital_id,department_id,department_name,episode_start_date,episode_end_date,dominant_kpi_id,dominant_kpi_name,maximum_priority_tier,recommendation_type,proposed_management_action,scenario_review_required,scenario_review_priority,scenario_review_reason,scenario_review_scope,scenario_engine_status,provisional_threshold_flag,provisional_kpi_list,contradiction_severity,financial_review_required
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,HOSP-001,DEPT-ADM,Admissions,2026-07-26,2026-07-26,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,HOSP-001,DEPT-ADM,Admissions,2026-08-22,2026-08-22,kpi_001,Staffing Level,Critical,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,HOSP-001,DEPT-ADM,Admissions,2026-10-12,2026-10-12,kpi_001,Staffing Level,Elevated,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,HOSP-001,DEPT-ADM,Admissions,2026-10-21,2026-10-21,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,HOSP-001,DEPT-ADM,Admissions,2026-11-27,2026-11-29,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,HOSP-001,DEPT-ADM,Admissions,2026-12-05,2026-12-06,kpi_001,Staffing Level,"Critical, Elevated",Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,HOSP-001,DEPT-ADM,Admissions,2026-12-20,2026-12-24,kpi_001,Staffing Level,"Critical, High",Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,HOSP-001,DEPT-ADM,Admissions,2026-02-02,2026-02-02,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,HOSP-001,DEPT-ADM,Admissions,2026-02-06,2026-02-06,kpi_002,Staff Absenteeism Rate,Critical,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,HOSP-001,DEPT-ADM,Admissions,2026-03-30,2026-03-30,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,HOSP-001,DEPT-ADM,Admissions,2026-04-09,2026-04-12,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,HOSP-001,DEPT-ADM,Admissions,2026-05-24,2026-05-25,kpi_002,Staff Absenteeism Rate,"Critical, High",Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,HOSP-001,DEPT-ADM,Admissions,2026-05-29,2026-05-29,kpi_002,Staff Absenteeism Rate,Elevated,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,HOSP-001,DEPT-ADM,Admissions,2026-06-11,2026-06-11,kpi_002,Staff Absenteeism Rate,Critical,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,HOSP-001,DEPT-ADM,Admissions,2026-06-20,2026-06-20,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,HOSP-001,DEPT-ADM,Admissions,2026-06-24,2026-06-24,kpi_002,Staff Absenteeism Rate,Critical,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,HOSP-001,DEPT-ADM,Admissions,2026-07-10,2026-07-10,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,HOSP-001,DEPT-ADM,Admissions,2026-07-16,2026-07-16,kpi_002,Staff Absenteeism Rate,Critical,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,HOSP-001,DEPT-ADM,Admissions,2026-08-14,2026-08-14,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,HOSP-001,DEPT-ADM,Admissions,2026-09-25,2026-09-25,kpi_002,Staff Absenteeism Rate,Critical,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EP-HOSP-001-DEPT-ADM-kpi_002-20261019,HOSP-001,DEPT-ADM,Admissions,2026-10-19,2026-10-19,kpi_002,Staff Absenteeism Rate,Elevated,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EP-HOSP-001-DEPT-ADM-kpi_002-20261102,HOSP-001,DEPT-ADM,Admissions,2026-11-02,2026-11-02,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EP-HOSP-001-DEPT-ADM-kpi_002-20261114,HOSP-001,DEPT-ADM,Admissions,2026-11-14,2026-11-14,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EP-HOSP-001-DEPT-ADM-kpi_002-20261121,HOSP-001,DEPT-ADM,Admissions,2026-11-21,2026-11-21,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EP-HOSP-001-DEPT-ADM-kpi_002-20261214,HOSP-001,DEPT-ADM,Admissions,2026-12-14,2026-12-14,kpi_002,Staff Absenteeism Rate,Elevated,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EP-HOSP-001-DEPT-ADM-kpi_002-20261225,HOSP-001,DEPT-ADM,Admissions,2026-12-25,2026-12-25,kpi_002,Staff Absenteeism Rate,High,Immediate Stabilisation,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",True,Required,Action involves relief coverage — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,HOSP-001,DEPT-ADM,Admissions,2026-01-30,2026-01-30,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,HOSP-001,DEPT-ADM,Admissions,2026-02-14,2026-02-14,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,HOSP-001,DEPT-ADM,Admissions,2026-03-25,2026-03-25,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EP-HOSP-001-DEPT-ADM-kpi_006-20260404,HOSP-001,DEPT-ADM,Admissions,2026-04-04,2026-04-04,kpi_006,Patient Satisfaction Score,Elevated,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EP-HOSP-001-DEPT-ADM-kpi_006-20260408,HOSP-001,DEPT-ADM,Admissions,2026-04-08,2026-04-08,kpi_006,Patient Satisfaction Score,Critical,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EP-HOSP-001-DEPT-ADM-kpi_006-20260413,HOSP-001,DEPT-ADM,Admissions,2026-04-13,2026-04-13,kpi_006,Patient Satisfaction Score,Critical,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EP-HOSP-001-DEPT-ADM-kpi_006-20260424,HOSP-001,DEPT-ADM,Admissions,2026-04-24,2026-04-24,kpi_006,Patient Satisfaction Score,Elevated,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EP-HOSP-001-DEPT-ADM-kpi_006-20260509,HOSP-001,DEPT-ADM,Admissions,2026-05-09,2026-05-10,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EP-HOSP-001-DEPT-ADM-kpi_006-20260618,HOSP-001,DEPT-ADM,Admissions,2026-06-18,2026-06-19,kpi_006,Patient Satisfaction Score,"Critical, High",Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EP-HOSP-001-DEPT-ADM-kpi_006-20260623,HOSP-001,DEPT-ADM,Admissions,2026-06-23,2026-06-23,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,EP-HOSP-001-DEPT-ADM-kpi_006-20260629,HOSP-001,DEPT-ADM,Admissions,2026-06-29,2026-06-29,kpi_006,Patient Satisfaction Score,Elevated,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,EP-HOSP-001-DEPT-ADM-kpi_006-20260703,HOSP-001,DEPT-ADM,Admissions,2026-07-03,2026-07-05,kpi_006,Patient Satisfaction Score,"Critical, Elevated",Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,EP-HOSP-001-DEPT-ADM-kpi_006-20260709,HOSP-001,DEPT-ADM,Admissions,2026-07-09,2026-07-09,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,EP-HOSP-001-DEPT-ADM-kpi_006-20260719,HOSP-001,DEPT-ADM,Admissions,2026-07-19,2026-07-19,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,EP-HOSP-001-DEPT-ADM-kpi_006-20260809,HOSP-001,DEPT-ADM,Admissions,2026-08-09,2026-08-12,kpi_006,Patient Satisfaction Score,High,Immediate Stabilisation,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",False,Not Required,"Action is data validation, monitoring, or confirmation — no operational configuration alternatives to simulate",,Exclude,False,,Minor,False
