scenario_run_id,approval_package_id,episode_id,scenario_template_id,comparator_id,comparator_type,scenario_family,baseline_id,primary_kpi_id,scenario_execution_status,final_scenario_confidence,causality_status,contradiction_severity,provisional_warning,governance_warning,assumption_profile,assumption_set_id,assumption_values_json,overall_validation_status,baseline_validation_status,numerical_validation_status,assumption_challenge_status,governance_compliance_status,tradeoff_classification,sensitivity_classification,dominance_classification,displacement_classification,evidence_id,lineage_id,closure_status
SR-BL-8967EE194089397D-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,BL-8967EE194089397D,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 4.0, ""temporary_staff_count"": 3.0, ""staff_reassignment_count"": 2.0, ""uncovered_shift_reduction_pct"": 20.0, ""intervention_duration_days"": 30.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-8967EE194089397D-COMP-HIGH-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-HIGH-001-EP-5,Closed — Valid with Conditions
SR-BL-39B86971C6CEAA6C-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,BL-39B86971C6CEAA6C,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,,,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-D6ADC7A9999608EF-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,-BLOCKED,Baseline,No-Action or Baseline Comparator,BL-D6ADC7A9999608EF,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,,,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-DC41AA9F364EC81B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,BL-DC41AA9F364EC81B,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Neutral,Sensitive to Assumption Intensity,,No Displacement Identified,EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-EP-5,Closed — Valid with Conditions
SR-BL-DC41AA9F364EC81B-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,BL-DC41AA9F364EC81B,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-CONS-001-EP-5,Closed — Valid with Conditions
SR-BL-DC41AA9F364EC81B-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,BL-DC41AA9F364EC81B,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-EXP-001-EP-5,Closed — Valid with Conditions
SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,BL-DC41AA9F364EC81B,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 4.0, ""temporary_staff_count"": 3.0, ""staff_reassignment_count"": 2.0, ""uncovered_shift_reduction_pct"": 20.0, ""intervention_duration_days"": 30.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-BASE-0;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-REC-1;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-RECID-2;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-COMP-3;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-PKG-4;EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-DC41AA9F364EC81B-COMP-HIGH-001-EP-5,Closed — Valid with Conditions
SR-BL-70133AFA8D93E01B-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,BL-70133AFA8D93E01B,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,,,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-BC5DDA2FCB098382-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,-BLOCKED,Baseline,No-Action or Baseline Comparator,BL-BC5DDA2FCB098382,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,,,{},,,,,,,Direction Reversal,,,,,Closed — Unsupported
SR-BL-3048F5335B1741BC-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,BL-3048F5335B1741BC,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,{},,,,,,Neutral,Direction Reversal,,No Displacement Identified,EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-BASE-0;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-1;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-2;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-3;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-4;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-5;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-6;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-7;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-8;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-COMP-9;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-PKG-10;EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-EP-11,LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-1;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-2;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-3;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-4;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-REC-5;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-6;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-7;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-RECID-8;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-COMP-9;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-PKG-10;LIN-EV-SR-BL-3048F5335B1741BC-COMP-BASE-001-EP-11,Closed — Requires Revision
