hospital,department,department_code,year,month,dominant_kpi_id,dominant_kpi_name,card_value,management_value,card_status,management_status,action_id,action_text,source_package_id,package_context_match,management_values_match,validation_note
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260530,True,True,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,6,kpi_004,Average Patient Waiting Time,55.4,55.4,Critical,Critical,ACTION-kpi_004-Red,Critical waiting times. Redesign queue flow; review triage; adjust demand-capacity balance; expand service slots.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260629,True,True,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,7,kpi_004,Average Patient Waiting Time,53.8,53.8,Warning,Warning,ACTION-kpi_004-Amber,Extended waiting times. Review queue design; assess triage; monitor demand patterns.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260728,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,1,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,2,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260226,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260319,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260429,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260530,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,6,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260627,True,True,OK
HOSP-001,Surgery,DEPT-SUR,2026,7,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260731,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,1,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260121,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,2,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260221,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260328,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260430,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260529,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,6,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260623,True,True,OK
HOSP-001,Patient Experience,DEPT-PE,2026,7,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260728,True,True,OK
